14896,27672
27672,14896
4968,23253
23253,4968
6561,13980
13980,6561
9977,31314
31314,9977
30566,28608
28608,30566
11258,4565
4565,11258
26748,28889
28889,26748
25487,8976
8976,25487
27399,12341
12341,27399
12616,7070
7070,12616
9005,16434
16434,9005
16540,17478
17478,16540
12699,23284
23284,12699
30092,2150
2150,30092
3375,31460
31460,3375
582,21489
21489,582
14777,6631
6631,14777
2990,13218
13218,2990
21647,27758
27758,21647
12506,27708
27708,12506
1634,27609
27609,1634
1322,11038
11038,1322
4642,2830
2830,4642
18138,11925
11925,18138
32159,17217
17217,32159
19889,594
594,19889
8918,21626
21626,8918
30628,22382
22382,30628
16394,11921
11921,16394
1986,26914
26914,1986
25575,16327
16327,25575
29006,28070
28070,29006
29817,24856
24856,29817
4845,19526
19526,4845
17815,12729
12729,17815
22240,18393
18393,22240
1501,25795
25795,1501
30544,871
871,30544
7798,26028
26028,7798
24597,5497
5497,24597
22092,2783
2783,22092
22401,13973
13973,22401
28706,20855
20855,28706
26529,13803
13803,26529
12049,22201
22201,12049
21105,29052
29052,21105
15384,16526
16526,15384
27265,18663
18663,27265
9248,30511
30511,9248
1505,26357
26357,1505
2401,979
979,2401
32236,27232
27232,32236
10461,10817
10817,10461
26012,16491
16491,26012
30405,13332
13332,30405
22461,3687
3687,22461
18661,7738
7738,18661
6590,21113
21113,6590
2209,30487
30487,2209
31327,26550
26550,31327
4638,21523
21523,4638
23340,2547
2547,23340
11134,13865
13865,11134
21677,12866
12866,21677
20072,10926
10926,20072
3465,16038
16038,3465
17802,8374
8374,17802
8661,13491
13491,8661
24176,31398
31398,24176
19867,7020
7020,19867
20789,9227
9227,20789
599,9116
9116,599
16867,5603
5603,16867
8080,2144
2144,8080
13223,15166
15166,13223
30747,22087
22087,30747
26155,20115
20115,26155
23369,30207
30207,23369
1674,17200
17200,1674
14423,8010
8010,14423
32529,17502
17502,32529
699,12590
12590,699
10814,30377
30377,10814
14449,25082
25082,14449
24546,14928
14928,24546
23683,10168
10168,23683
767,13208
13208,767
27887,13905
13905,27887
27396,27542
27542,27396
29438,8720
8720,29438
17289,25974
25974,17289
25745,21047
21047,25745
14513,31817
31817,14513
16842,31744
31744,16842
4819,24879
24879,4819
1828,30664
30664,1828
9527,27357
27357,9527
31398,27332
27332,31398
19968,20898
20898,19968
7139,31494
31494,7139
