934,170
170,934
181,268
268,181
416,860
860,416
437,525
525,437
869,184
184,869
779,741
741,779
895,232
232,895
415,368
368,415
289,167
167,289
300,774
774,300
878,931
931,878
695,271
271,695
38,179
179,38
490,34
34,490
44,87
87,44
831,594
594,831
931,47
47,931
870,723
723,870
956,986
986,956
107,993
993,107
620,914
914,620
283,77
77,283
978,596
596,978
710,730
730,710
184,733
733,184
836,620
620,836
720,357
357,720
662,803
803,662
978,534
534,978
450,441
441,450
896,91
91,896
343,79
79,343
768,650
650,768
901,954
954,901
947,662
662,947
488,103
103,488
373,136
136,373
103,391
391,103
715,612
612,715
831,94
94,831
607,952
952,607
565,754
754,565
135,146
146,135
5,197
197,5
1,772
772,1
426,166
166,426
257,606
606,257
48,902
902,48
211,444
444,211
559,946
946,559
56,474
474,56
432,791
791,432
648,915
915,648
644,534
534,644
940,722
722,940
312,668
668,312
416,717
717,416
175,514
514,175
403,771
771,403
996,114
114,996
140,880
880,140
784,734
734,784
823,675
675,823
45,827
827,45
973,341
341,973
799,874
874,799
280,190
190,280
22,977
977,22
978,488
488,978
165,291
291,165
357,535
535,357
235,283
283,235
105,579
579,105
517,409
409,517
173,375
375,173
622,95
95,622
934,669
669,934
521,826
826,521
775,134
134,775
799,131
131,799
837,849
849,837
727,304
304,727
852,894
894,852
261,359
359,261
889,193
193,889
866,935
935,866
661,941
941,661
28,662
662,28
166,536
536,166
584,498
498,584
725,211
211,725
654,970
970,654
310,393
393,310
134,405
405,134
917,605
605,917
966,759
759,966
80,392
392,80
190,517
517,190
359,49
49,359
653,748
748,653
